_col0,primary_category
196,indoor_playcenter
316,industrial_cleaning_services
136293,industrial_company
171922,industrial_equipment
332,industrial_spares_and_products_wholesaler
2834,infectious_disease_specialist
100664,information_technology_company
4573,inn
2459,inspection_services
54496,installment_loans
74,instrumentation_engineers
2358,insulation_installation
271955,insurance_agency
102578,interior_design
15,interlock_system
28485,internal_medicine
8057,international_business_and_trade_services
2506,international_grocery_store
948,international_restaurant
21512,internet_cafe
19261,internet_marketing_service
47234,internet_service_provider
979,inventory_control_service
19796,investing
1699,ip_and_internet_law
4341,irish_pub
312,irish_restaurant
9371,iron_and_steel_industry
139,iron_and_steel_store
1508,iron_work
34,ironworkers
1916,irrigation
148,irrigation_companies
533,island
184,israeli_restaurant
2002,it_consultant
127475,it_service_and_computer_repair
4541,it_support_and_service
157356,italian_restaurant
45,iv_hydration
7179,jail_and_prison
823,jamaican_restaurant
14076,janitorial_services
391,japanese_confectionery_shop
33,japanese_grocery_store
238414,japanese_restaurant
2597,jazz_and_blues
1550,jehovahs_witness_kingdom_hall
735,jet_skis_rental
13092,jewelry_and_watches_manufacturer
65,jewelry_manufacturer
60,jewelry_repair_service
237906,jewelry_store
2497,junk_removal_and_hauling
1086,junkyard
19,juvenile_detention_center
25739,karaoke
37,karaoke_rental
658,karate_club
55174,key_and_locksmith
911,kickboxing_club
2100,kids_hair_salon
8443,kids_recreation_and_party
570,kiosk
8392,kitchen_and_bath
6,kitchen_incubator
1967,kitchen_remodeling
9801,kitchen_supply_store
736,kiteboarding
3,kiteboarding_instruction
295,knife_sharpening
592,knitting_supply
37,kofta_restaurant
5,kombucha
14702,korean_grocery_store
78288,korean_restaurant
15,kosher_grocery_store
885,kosher_restaurant
66,kurdish_restaurant
19514,labor_union
2225,laboratory
329,laboratory_equipment_supplier
87095,laboratory_testing
29,lactation_services
182636,lake
15480,land_surveying
945233,landmark_and_historical_building
8933,landscape_architect
67764,landscaping
69414,language_school
9,laotian_restaurant
190,laser_cutting_service_provider
1219,laser_eye_surgery_lasik
16508,laser_hair_removal
1936,laser_tag
6903,latin_american_restaurant
83145,laundromat
1983,laundry_services
7330,law_enforcement
92,law_schools
19,lawn_bowling_club
139,lawn_mower_repair_service
1478,lawn_mower_store
4961,lawn_service
255060,lawyer
2566,leather_goods
82,leather_products_manufacturer
6202,lebanese_restaurant
53872,legal_services
112031,library
145,lice_treatment
17264,life_coach
8878,life_insurance
14,light_rail_and_subway_stations
3381,lighthouse
250,lighting_fixture_manufacturers
407,lighting_fixtures_and_equipment
36619,lighting_store
47,lime_professionals
9175,limo_services
24236,linen
33012,lingerie_store
5,lingerie_wholesaler
141729,liquor_store
1162,live_and_raw_food_restaurant
7322,livestock_breeder
91,livestock_dealers
499,livestock_feed_and_supply_store
7361,local_and_state_government_offices
46756,lodge
1212,logging_contractor
339,logging_equipment_and_supplies
7457,logging_services
26,lookout
8436,lottery_ticket
62995,lounge
76,low_income_housing
1599,luggage_storage
14361,luggage_store
11928,lumber_store
33,macarons
5072,machine_and_tool_rentals
36125,machine_shop
468,magician
450,mailbox_center
2,major_airports
29,makerspace
18854,makeup_artist
13394,malaysian_restaurant
286,manufacturers_agents_and_representatives
210,manufacturing_and_industrial_consultant
947,marble_and_granite_professionals
1,marching_band
13777,marina
2,market_stall
85760,marketing_agency
22036,marketing_consultant
2947,marriage_or_relationship_counselor
109877,martial_arts_club
17170,masonry_concrete
4527,masonry_contractors
20173,mass_media
48357,massage
1269,massage_school
17372,massage_therapy
247,matchmaker
4171,maternity_centers
1825,maternity_wear
2558,mattress_manufacturing
31031,mattress_store
29,meat_restaurant
768,meat_shop
9371,meat_wholesaler
1629,mechanical_engineers
5559,media_agency
19,media_critic
22781,media_news_company
8037,media_news_website
126,media_restoration_service
767,mediator
13,medical_cannabis_referral
55869,medical_center
1138,medical_law
8042,medical_research_and_development
8067,medical_school
371,medical_sciences_schools
40735,medical_service_organizations
11465,medical_spa
33659,medical_supply
